source	target	source_node_type	target_node_type
MCTs37	CBM22	MCT	CBM
MCTs37	CBM26	MCT	CBM
MCTs37	CBM30	MCT	CBM
MCTs37	CBM32	MCT	CBM
MCTs37	CBM35	MCT	CBM
MCTs37	CBM37	MCT	CBM
MCTs37	CBM38	MCT	CBM
MCTs37	CBM40	MCT	CBM
MCTs37	CBM48	MCT	CBM
MCTs37	CBM50	MCT	CBM
MCTs37	CBM57	MCT	CBM
MCTs37	CBM58	MCT	CBM
MCTs37	CBM6	MCT	CBM
MCTs37	CBM62	MCT	CBM
MCTs37	CBM66	MCT	CBM
MCTs37	CBM67	MCT	CBM
MCTs37	CBM69	MCT	CBM
MCTs37	CBM72	MCT	CBM
MCTs37	CBM9	MCT	CBM
MCTs37	AA6	MCT	AA
MCTs37	CE1	MCT	CE
MCTs37	CE10	MCT	CE
MCTs37	CE11	MCT	CE
MCTs37	CE12	MCT	CE
MCTs37	CE14	MCT	CE
MCTs37	CE15	MCT	CE
MCTs37	CE2	MCT	CE
MCTs37	CE3	MCT	CE
MCTs37	CE4	MCT	CE
MCTs37	CE6	MCT	CE
MCTs37	CE7	MCT	CE
MCTs37	CE8	MCT	CE
MCTs37	CE9	MCT	CE
MCTs37	GH10	MCT	GH
MCTs37	GH105	MCT	GH
MCTs37	GH106	MCT	GH
MCTs37	GH108	MCT	GH
MCTs37	GH109	MCT	GH
MCTs37	GH110	MCT	GH
MCTs37	GH115	MCT	GH
MCTs37	GH116	MCT	GH
MCTs37	GH120	MCT	GH
MCTs37	GH123	MCT	GH
MCTs37	GH125	MCT	GH
MCTs37	GH127	MCT	GH
MCTs37	GH13	MCT	GH
MCTs37	GH130	MCT	GH
MCTs37	GH133	MCT	GH
MCTs37	GH136	MCT	GH
MCTs37	GH137	MCT	GH
MCTs37	GH138	MCT	GH
MCTs37	GH139	MCT	GH
MCTs37	GH140	MCT	GH
MCTs37	GH141	MCT	GH
MCTs37	GH142	MCT	GH
MCTs37	GH143	MCT	GH
MCTs37	GH144	MCT	GH
MCTs37	GH145	MCT	GH
MCTs37	GH15	MCT	GH
MCTs37	GH16	MCT	GH
MCTs37	GH18	MCT	GH
MCTs37	GH2	MCT	GH
MCTs37	GH20	MCT	GH
MCTs37	GH23	MCT	GH
MCTs37	GH24	MCT	GH
MCTs37	GH25	MCT	GH
MCTs37	GH26	MCT	GH
MCTs37	GH27	MCT	GH
MCTs37	GH28	MCT	GH
MCTs37	GH29	MCT	GH
MCTs37	GH3	MCT	GH
MCTs37	GH30	MCT	GH
MCTs37	GH31	MCT	GH
MCTs37	GH32	MCT	GH
MCTs37	GH33	MCT	GH
MCTs37	GH35	MCT	GH
MCTs37	GH36	MCT	GH
MCTs37	GH38	MCT	GH
MCTs37	GH42	MCT	GH
MCTs37	GH43	MCT	GH
MCTs37	GH5	MCT	GH
MCTs37	GH51	MCT	GH
MCTs37	GH53	MCT	GH
MCTs37	GH57	MCT	GH
MCTs37	GH63	MCT	GH
MCTs37	GH65	MCT	GH
MCTs37	GH66	MCT	GH
MCTs37	GH67	MCT	GH
MCTs37	GH73	MCT	GH
MCTs37	GH74	MCT	GH
MCTs37	GH76	MCT	GH
MCTs37	GH77	MCT	GH
MCTs37	GH78	MCT	GH
MCTs37	GH8	MCT	GH
MCTs37	GH84	MCT	GH
MCTs37	GH88	MCT	GH
MCTs37	GH89	MCT	GH
MCTs37	GH9	MCT	GH
MCTs37	GH92	MCT	GH
MCTs37	GH95	MCT	GH
MCTs37	GH97	MCT	GH
MCTs37	GT11	MCT	GT
MCTs37	GT14	MCT	GT
MCTs37	GT19	MCT	GT
MCTs37	GT2	MCT	GT
MCTs37	GT23	MCT	GT
MCTs37	GT26	MCT	GT
MCTs37	GT27	MCT	GT
MCTs37	GT28	MCT	GT
MCTs37	GT3	MCT	GT
MCTs37	GT30	MCT	GT
MCTs37	GT32	MCT	GT
MCTs37	GT35	MCT	GT
MCTs37	GT4	MCT	GT
MCTs37	GT51	MCT	GT
MCTs37	GT6	MCT	GT
MCTs37	GT8	MCT	GT
MCTs37	GT83	MCT	GT
MCTs37	GT9	MCT	GT
MCTs37	GT90	MCT	GT
MCTs37	PL1	MCT	PL
MCTs37	PL10	MCT	PL
MCTs37	PL11	MCT	PL
MCTs37	PL12	MCT	PL
MCTs37	PL13	MCT	PL
MCTs37	PL15	MCT	PL
MCTs37	PL17	MCT	PL
MCTs37	PL21	MCT	PL
MCTs37	PL22	MCT	PL
MCTs37	PL26	MCT	PL
MCTs37	PL27	MCT	PL
MCTs37	PL8	MCT	PL
MCTs37	PL9	MCT	PL
MCTs05	CBM12	MCT	CBM
MCTs05	CBM13	MCT	CBM
MCTs05	CBM16	MCT	CBM
MCTs05	CBM20	MCT	CBM
MCTs05	CBM30	MCT	CBM
MCTs05	CBM32	MCT	CBM
MCTs05	CBM34	MCT	CBM
MCTs05	CBM35	MCT	CBM
MCTs05	CBM38	MCT	CBM
MCTs05	CBM4	MCT	CBM
MCTs05	CBM44	MCT	CBM
MCTs05	CBM48	MCT	CBM
MCTs05	CBM50	MCT	CBM
MCTs05	CBM51	MCT	CBM
MCTs05	CBM57	MCT	CBM
MCTs05	CBM58	MCT	CBM
MCTs05	CBM6	MCT	CBM
MCTs05	CBM62	MCT	CBM
MCTs05	CBM66	MCT	CBM
MCTs05	CBM67	MCT	CBM
MCTs05	CBM69	MCT	CBM
MCTs05	CBM72	MCT	CBM
MCTs05	CBM9	MCT	CBM
MCTs05	AA6	MCT	AA
MCTs05	CE1	MCT	CE
MCTs05	CE10	MCT	CE
MCTs05	CE11	MCT	CE
MCTs05	CE12	MCT	CE
MCTs05	CE14	MCT	CE
MCTs05	CE3	MCT	CE
MCTs05	CE4	MCT	CE
MCTs05	CE6	MCT	CE
MCTs05	CE7	MCT	CE
MCTs05	CE8	MCT	CE
MCTs05	CE9	MCT	CE
MCTs05	GH1	MCT	GH
MCTs05	GH101	MCT	GH
MCTs05	GH105	MCT	GH
MCTs05	GH106	MCT	GH
MCTs05	GH109	MCT	GH
MCTs05	GH110	MCT	GH
MCTs05	GH115	MCT	GH
MCTs05	GH116	MCT	GH
MCTs05	GH117	MCT	GH
MCTs05	GH123	MCT	GH
MCTs05	GH125	MCT	GH
MCTs05	GH127	MCT	GH
MCTs05	GH13	MCT	GH
MCTs05	GH130	MCT	GH
MCTs05	GH133	MCT	GH
MCTs05	GH136	MCT	GH
MCTs05	GH137	MCT	GH
MCTs05	GH138	MCT	GH
MCTs05	GH139	MCT	GH
MCTs05	GH140	MCT	GH
MCTs05	GH141	MCT	GH
MCTs05	GH142	MCT	GH
MCTs05	GH143	MCT	GH
MCTs05	GH144	MCT	GH
MCTs05	GH145	MCT	GH
MCTs05	GH15	MCT	GH
MCTs05	GH18	MCT	GH
MCTs05	GH2	MCT	GH
MCTs05	GH20	MCT	GH
MCTs05	GH23	MCT	GH
MCTs05	GH24	MCT	GH
MCTs05	GH25	MCT	GH
MCTs05	GH26	MCT	GH
MCTs05	GH27	MCT	GH
MCTs05	GH28	MCT	GH
MCTs05	GH29	MCT	GH
MCTs05	GH3	MCT	GH
MCTs05	GH30	MCT	GH
MCTs05	GH31	MCT	GH
MCTs05	GH32	MCT	GH
MCTs05	GH33	MCT	GH
MCTs05	GH35	MCT	GH
MCTs05	GH36	MCT	GH
MCTs05	GH38	MCT	GH
MCTs05	GH4	MCT	GH
MCTs05	GH42	MCT	GH
MCTs05	GH43	MCT	GH
MCTs05	GH5	MCT	GH
MCTs05	GH51	MCT	GH
MCTs05	GH53	MCT	GH
MCTs05	GH55	MCT	GH
MCTs05	GH57	MCT	GH
MCTs05	GH63	MCT	GH
MCTs05	GH65	MCT	GH
MCTs05	GH66	MCT	GH
MCTs05	GH67	MCT	GH
MCTs05	GH73	MCT	GH
MCTs05	GH74	MCT	GH
MCTs05	GH76	MCT	GH
MCTs05	GH77	MCT	GH
MCTs05	GH78	MCT	GH
MCTs05	GH84	MCT	GH
MCTs05	GH88	MCT	GH
MCTs05	GH89	MCT	GH
MCTs05	GH9	MCT	GH
MCTs05	GH92	MCT	GH
MCTs05	GH94	MCT	GH
MCTs05	GH95	MCT	GH
MCTs05	GH97	MCT	GH
MCTs05	GH99	MCT	GH
MCTs05	GT14	MCT	GT
MCTs05	GT19	MCT	GT
MCTs05	GT2	MCT	GT
MCTs05	GT20	MCT	GT
MCTs05	GT23	MCT	GT
MCTs05	GT26	MCT	GT
MCTs05	GT27	MCT	GT
MCTs05	GT28	MCT	GT
MCTs05	GT30	MCT	GT
MCTs05	GT35	MCT	GT
MCTs05	GT4	MCT	GT
MCTs05	GT5	MCT	GT
MCTs05	GT51	MCT	GT
MCTs05	GT83	MCT	GT
MCTs05	GT9	MCT	GT
MCTs05	PL1	MCT	PL
MCTs05	PL10	MCT	PL
MCTs05	PL11	MCT	PL
MCTs05	PL12	MCT	PL
MCTs05	PL15	MCT	PL
MCTs05	PL17	MCT	PL
MCTs05	PL22	MCT	PL
MCTs05	PL26	MCT	PL
MCTs05	PL27	MCT	PL
MCTs05	PL6	MCT	PL
MCTs05	PL8	MCT	PL
MCTs04	CBM13	MCT	CBM
MCTs04	CBM16	MCT	CBM
MCTs04	CBM20	MCT	CBM
MCTs04	CBM22	MCT	CBM
MCTs04	CBM30	MCT	CBM
MCTs04	CBM32	MCT	CBM
MCTs04	CBM34	MCT	CBM
MCTs04	CBM35	MCT	CBM
MCTs04	CBM36	MCT	CBM
MCTs04	CBM37	MCT	CBM
MCTs04	CBM4	MCT	CBM
MCTs04	CBM40	MCT	CBM
MCTs04	CBM44	MCT	CBM
MCTs04	CBM46	MCT	CBM
MCTs04	CBM48	MCT	CBM
MCTs04	CBM50	MCT	CBM
MCTs04	CBM51	MCT	CBM
MCTs04	CBM56	MCT	CBM
MCTs04	CBM57	MCT	CBM
MCTs04	CBM6	MCT	CBM
MCTs04	CBM61	MCT	CBM
MCTs04	CBM62	MCT	CBM
MCTs04	CBM66	MCT	CBM
MCTs04	CBM67	MCT	CBM
MCTs04	CBM9	MCT	CBM
MCTs04	AA6	MCT	AA
MCTs04	CE1	MCT	CE
MCTs04	CE10	MCT	CE
MCTs04	CE11	MCT	CE
MCTs04	CE12	MCT	CE
MCTs04	CE14	MCT	CE
MCTs04	CE15	MCT	CE
MCTs04	CE2	MCT	CE
MCTs04	CE3	MCT	CE
MCTs04	CE4	MCT	CE
MCTs04	CE6	MCT	CE
MCTs04	CE7	MCT	CE
MCTs04	CE8	MCT	CE
MCTs04	CE9	MCT	CE
MCTs04	GH1	MCT	GH
MCTs04	GH10	MCT	GH
MCTs04	GH105	MCT	GH
MCTs04	GH106	MCT	GH
MCTs04	GH108	MCT	GH
MCTs04	GH109	MCT	GH
MCTs04	GH110	MCT	GH
MCTs04	GH112	MCT	GH
MCTs04	GH115	MCT	GH
MCTs04	GH117	MCT	GH
MCTs04	GH120	MCT	GH
MCTs04	GH123	MCT	GH
MCTs04	GH125	MCT	GH
MCTs04	GH127	MCT	GH
MCTs04	GH128	MCT	GH
MCTs04	GH129	MCT	GH
MCTs04	GH13	MCT	GH
MCTs04	GH130	MCT	GH
MCTs04	GH133	MCT	GH
MCTs04	GH136	MCT	GH
MCTs04	GH137	MCT	GH
MCTs04	GH138	MCT	GH
MCTs04	GH140	MCT	GH
MCTs04	GH141	MCT	GH
MCTs04	GH142	MCT	GH
MCTs04	GH143	MCT	GH
MCTs04	GH144	MCT	GH
MCTs04	GH145	MCT	GH
MCTs04	GH15	MCT	GH
MCTs04	GH16	MCT	GH
MCTs04	GH18	MCT	GH
MCTs04	GH2	MCT	GH
MCTs04	GH20	MCT	GH
MCTs04	GH23	MCT	GH
MCTs04	GH24	MCT	GH
MCTs04	GH25	MCT	GH
MCTs04	GH26	MCT	GH
MCTs04	GH27	MCT	GH
MCTs04	GH28	MCT	GH
MCTs04	GH29	MCT	GH
MCTs04	GH3	MCT	GH
MCTs04	GH30	MCT	GH
MCTs04	GH31	MCT	GH
MCTs04	GH32	MCT	GH
MCTs04	GH33	MCT	GH
MCTs04	GH35	MCT	GH
MCTs04	GH36	MCT	GH
MCTs04	GH38	MCT	GH
MCTs04	GH39	MCT	GH
MCTs04	GH42	MCT	GH
MCTs04	GH43	MCT	GH
MCTs04	GH5	MCT	GH
MCTs04	GH51	MCT	GH
MCTs04	GH53	MCT	GH
MCTs04	GH57	MCT	GH
MCTs04	GH63	MCT	GH
MCTs04	GH65	MCT	GH
MCTs04	GH67	MCT	GH
MCTs04	GH73	MCT	GH
MCTs04	GH74	MCT	GH
MCTs04	GH77	MCT	GH
MCTs04	GH78	MCT	GH
MCTs04	GH8	MCT	GH
MCTs04	GH88	MCT	GH
MCTs04	GH89	MCT	GH
MCTs04	GH9	MCT	GH
MCTs04	GH91	MCT	GH
MCTs04	GH92	MCT	GH
MCTs04	GH94	MCT	GH
MCTs04	GH95	MCT	GH
MCTs04	GH97	MCT	GH
MCTs04	GT11	MCT	GT
MCTs04	GT14	MCT	GT
MCTs04	GT19	MCT	GT
MCTs04	GT2	MCT	GT
MCTs04	GT20	MCT	GT
MCTs04	GT21	MCT	GT
MCTs04	GT23	MCT	GT
MCTs04	GT26	MCT	GT
MCTs04	GT27	MCT	GT
MCTs04	GT28	MCT	GT
MCTs04	GT3	MCT	GT
MCTs04	GT30	MCT	GT
MCTs04	GT32	MCT	GT
MCTs04	GT35	MCT	GT
MCTs04	GT4	MCT	GT
MCTs04	GT5	MCT	GT
MCTs04	GT51	MCT	GT
MCTs04	GT8	MCT	GT
MCTs04	GT83	MCT	GT
MCTs04	GT9	MCT	GT
MCTs04	GT90	MCT	GT
MCTs04	GT92	MCT	GT
MCTs04	PL1	MCT	PL
MCTs04	PL10	MCT	PL
MCTs04	PL11	MCT	PL
MCTs04	PL12	MCT	PL
MCTs04	PL13	MCT	PL
MCTs04	PL15	MCT	PL
MCTs04	PL17	MCT	PL
MCTs04	PL21	MCT	PL
MCTs04	PL22	MCT	PL
MCTs04	PL26	MCT	PL
MCTs04	PL27	MCT	PL
MCTs04	PL8	MCT	PL
MCTs04	PL9	MCT	PL
MCTs07	CBM11	MCT	CBM
MCTs07	CBM13	MCT	CBM
MCTs07	CBM16	MCT	CBM
MCTs07	CBM20	MCT	CBM
MCTs07	CBM22	MCT	CBM
MCTs07	CBM23	MCT	CBM
MCTs07	CBM26	MCT	CBM
MCTs07	CBM27	MCT	CBM
MCTs07	CBM3	MCT	CBM
MCTs07	CBM30	MCT	CBM
MCTs07	CBM32	MCT	CBM
MCTs07	CBM34	MCT	CBM
MCTs07	CBM35	MCT	CBM
MCTs07	CBM37	MCT	CBM
MCTs07	CBM39	MCT	CBM
MCTs07	CBM4	MCT	CBM
MCTs07	CBM40	MCT	CBM
MCTs07	CBM44	MCT	CBM
MCTs07	CBM46	MCT	CBM
MCTs07	CBM47	MCT	CBM
MCTs07	CBM48	MCT	CBM
MCTs07	CBM50	MCT	CBM
MCTs07	CBM51	MCT	CBM
MCTs07	CBM57	MCT	CBM
MCTs07	CBM6	MCT	CBM
MCTs07	CBM61	MCT	CBM
MCTs07	CBM62	MCT	CBM
MCTs07	CBM65	MCT	CBM
MCTs07	CBM66	MCT	CBM
MCTs07	CBM67	MCT	CBM
MCTs07	CBM72	MCT	CBM
MCTs07	CBM9	MCT	CBM
MCTs07	AA6	MCT	AA
MCTs07	CE1	MCT	CE
MCTs07	CE10	MCT	CE
MCTs07	CE11	MCT	CE
MCTs07	CE12	MCT	CE
MCTs07	CE14	MCT	CE
MCTs07	CE15	MCT	CE
MCTs07	CE2	MCT	CE
MCTs07	CE3	MCT	CE
MCTs07	CE4	MCT	CE
MCTs07	CE6	MCT	CE
MCTs07	CE7	MCT	CE
MCTs07	CE8	MCT	CE
MCTs07	CE9	MCT	CE
MCTs07	GH1	MCT	GH
MCTs07	GH10	MCT	GH
MCTs07	GH105	MCT	GH
MCTs07	GH106	MCT	GH
MCTs07	GH108	MCT	GH
MCTs07	GH109	MCT	GH
MCTs07	GH110	MCT	GH
MCTs07	GH112	MCT	GH
MCTs07	GH113	MCT	GH
MCTs07	GH115	MCT	GH
MCTs07	GH116	MCT	GH
MCTs07	GH117	MCT	GH
MCTs07	GH120	MCT	GH
MCTs07	GH123	MCT	GH
MCTs07	GH125	MCT	GH
MCTs07	GH126	MCT	GH
MCTs07	GH127	MCT	GH
MCTs07	GH129	MCT	GH
MCTs07	GH13	MCT	GH
MCTs07	GH130	MCT	GH
MCTs07	GH133	MCT	GH
MCTs07	GH137	MCT	GH
MCTs07	GH138	MCT	GH
MCTs07	GH139	MCT	GH
MCTs07	GH140	MCT	GH
MCTs07	GH141	MCT	GH
MCTs07	GH142	MCT	GH
MCTs07	GH143	MCT	GH
MCTs07	GH144	MCT	GH
MCTs07	GH145	MCT	GH
MCTs07	GH15	MCT	GH
MCTs07	GH16	MCT	GH
MCTs07	GH18	MCT	GH
MCTs07	GH2	MCT	GH
MCTs07	GH20	MCT	GH
MCTs07	GH23	MCT	GH
MCTs07	GH24	MCT	GH
MCTs07	GH25	MCT	GH
MCTs07	GH26	MCT	GH
MCTs07	GH27	MCT	GH
MCTs07	GH28	MCT	GH
MCTs07	GH29	MCT	GH
MCTs07	GH3	MCT	GH
MCTs07	GH30	MCT	GH
MCTs07	GH31	MCT	GH
MCTs07	GH32	MCT	GH
MCTs07	GH33	MCT	GH
MCTs07	GH35	MCT	GH
MCTs07	GH36	MCT	GH
MCTs07	GH37	MCT	GH
MCTs07	GH38	MCT	GH
MCTs07	GH39	MCT	GH
MCTs07	GH4	MCT	GH
MCTs07	GH42	MCT	GH
MCTs07	GH43	MCT	GH
MCTs07	GH5	MCT	GH
MCTs07	GH51	MCT	GH
MCTs07	GH53	MCT	GH
MCTs07	GH55	MCT	GH
MCTs07	GH57	MCT	GH
MCTs07	GH59	MCT	GH
MCTs07	GH63	MCT	GH
MCTs07	GH65	MCT	GH
MCTs07	GH66	MCT	GH
MCTs07	GH67	MCT	GH
MCTs07	GH73	MCT	GH
MCTs07	GH74	MCT	GH
MCTs07	GH76	MCT	GH
MCTs07	GH77	MCT	GH
MCTs07	GH78	MCT	GH
MCTs07	GH8	MCT	GH
MCTs07	GH84	MCT	GH
MCTs07	GH85	MCT	GH
MCTs07	GH88	MCT	GH
MCTs07	GH89	MCT	GH
MCTs07	GH9	MCT	GH
MCTs07	GH92	MCT	GH
MCTs07	GH94	MCT	GH
MCTs07	GH95	MCT	GH
MCTs07	GH97	MCT	GH
MCTs07	GH99	MCT	GH
MCTs07	GT1	MCT	GT
MCTs07	GT10	MCT	GT
MCTs07	GT11	MCT	GT
MCTs07	GT14	MCT	GT
MCTs07	GT19	MCT	GT
MCTs07	GT2	MCT	GT
MCTs07	GT20	MCT	GT
MCTs07	GT21	MCT	GT
MCTs07	GT23	MCT	GT
MCTs07	GT26	MCT	GT
MCTs07	GT27	MCT	GT
MCTs07	GT28	MCT	GT
MCTs07	GT3	MCT	GT
MCTs07	GT30	MCT	GT
MCTs07	GT35	MCT	GT
MCTs07	GT39	MCT	GT
MCTs07	GT4	MCT	GT
MCTs07	GT5	MCT	GT
MCTs07	GT51	MCT	GT
MCTs07	GT8	MCT	GT
MCTs07	GT83	MCT	GT
MCTs07	GT87	MCT	GT
MCTs07	GT9	MCT	GT
MCTs07	GT90	MCT	GT
MCTs07	GT99	MCT	GT
MCTs07	PL1	MCT	PL
MCTs07	PL10	MCT	PL
MCTs07	PL11	MCT	PL
MCTs07	PL12	MCT	PL
MCTs07	PL15	MCT	PL
MCTs07	PL17	MCT	PL
MCTs07	PL22	MCT	PL
MCTs07	PL26	MCT	PL
MCTs07	PL27	MCT	PL
MCTs07	PL8	MCT	PL
MCTs07	PL9	MCT	PL
MCTs06	CBM12	MCT	CBM
MCTs06	CBM20	MCT	CBM
MCTs06	CBM22	MCT	CBM
MCTs06	CBM26	MCT	CBM
MCTs06	CBM32	MCT	CBM
MCTs06	CBM34	MCT	CBM
MCTs06	CBM37	MCT	CBM
MCTs06	CBM44	MCT	CBM
MCTs06	CBM48	MCT	CBM
MCTs06	CBM50	MCT	CBM
MCTs06	CBM51	MCT	CBM
MCTs06	CBM67	MCT	CBM
MCTs06	CBM74	MCT	CBM
MCTs06	CBM77	MCT	CBM
MCTs06	CBM9	MCT	CBM
MCTs06	CE1	MCT	CE
MCTs06	CE10	MCT	CE
MCTs06	CE11	MCT	CE
MCTs06	CE12	MCT	CE
MCTs06	CE14	MCT	CE
MCTs06	CE15	MCT	CE
MCTs06	CE2	MCT	CE
MCTs06	CE3	MCT	CE
MCTs06	CE4	MCT	CE
MCTs06	CE6	MCT	CE
MCTs06	CE7	MCT	CE
MCTs06	CE8	MCT	CE
MCTs06	CE9	MCT	CE
MCTs06	GH105	MCT	GH
MCTs06	GH106	MCT	GH
MCTs06	GH109	MCT	GH
MCTs06	GH112	MCT	GH
MCTs06	GH114	MCT	GH
MCTs06	GH115	MCT	GH
MCTs06	GH123	MCT	GH
MCTs06	GH125	MCT	GH
MCTs06	GH127	MCT	GH
MCTs06	GH13	MCT	GH
MCTs06	GH130	MCT	GH
MCTs06	GH133	MCT	GH
MCTs06	GH140	MCT	GH
MCTs06	GH144	MCT	GH
MCTs06	GH16	MCT	GH
MCTs06	GH2	MCT	GH
MCTs06	GH20	MCT	GH
MCTs06	GH23	MCT	GH
MCTs06	GH24	MCT	GH
MCTs06	GH25	MCT	GH
MCTs06	GH26	MCT	GH
MCTs06	GH27	MCT	GH
MCTs06	GH28	MCT	GH
MCTs06	GH29	MCT	GH
MCTs06	GH3	MCT	GH
MCTs06	GH30	MCT	GH
MCTs06	GH31	MCT	GH
MCTs06	GH32	MCT	GH
MCTs06	GH33	MCT	GH
MCTs06	GH35	MCT	GH
MCTs06	GH36	MCT	GH
MCTs06	GH43	MCT	GH
MCTs06	GH5	MCT	GH
MCTs06	GH51	MCT	GH
MCTs06	GH53	MCT	GH
MCTs06	GH57	MCT	GH
MCTs06	GH66	MCT	GH
MCTs06	GH67	MCT	GH
MCTs06	GH73	MCT	GH
MCTs06	GH77	MCT	GH
MCTs06	GH84	MCT	GH
MCTs06	GH85	MCT	GH
MCTs06	GH89	MCT	GH
MCTs06	GH92	MCT	GH
MCTs06	GH93	MCT	GH
MCTs06	GH94	MCT	GH
MCTs06	GH95	MCT	GH
MCTs06	GH97	MCT	GH
MCTs06	GT19	MCT	GT
MCTs06	GT2	MCT	GT
MCTs06	GT26	MCT	GT
MCTs06	GT27	MCT	GT
MCTs06	GT28	MCT	GT
MCTs06	GT3	MCT	GT
MCTs06	GT30	MCT	GT
MCTs06	GT35	MCT	GT
MCTs06	GT4	MCT	GT
MCTs06	GT5	MCT	GT
MCTs06	GT51	MCT	GT
MCTs06	GT83	MCT	GT
MCTs06	GT9	MCT	GT
MCTs06	GT92	MCT	GT
MCTs06	GT94	MCT	GT
MCTs06	PL1	MCT	PL
MCTs06	PL10	MCT	PL
MCTs06	PL9	MCT	PL
MCTs01	CBM12	MCT	CBM
MCTs01	CBM13	MCT	CBM
MCTs01	CBM16	MCT	CBM
MCTs01	CBM20	MCT	CBM
MCTs01	CBM22	MCT	CBM
MCTs01	CBM25	MCT	CBM
MCTs01	CBM26	MCT	CBM
MCTs01	CBM3	MCT	CBM
MCTs01	CBM30	MCT	CBM
MCTs01	CBM32	MCT	CBM
MCTs01	CBM34	MCT	CBM
MCTs01	CBM35	MCT	CBM
MCTs01	CBM37	MCT	CBM
MCTs01	CBM38	MCT	CBM
MCTs01	CBM4	MCT	CBM
MCTs01	CBM41	MCT	CBM
MCTs01	CBM48	MCT	CBM
MCTs01	CBM50	MCT	CBM
MCTs01	CBM51	MCT	CBM
MCTs01	CBM57	MCT	CBM
MCTs01	CBM6	MCT	CBM
MCTs01	CBM61	MCT	CBM
MCTs01	CBM62	MCT	CBM
MCTs01	CBM66	MCT	CBM
MCTs01	CBM67	MCT	CBM
MCTs01	CBM79	MCT	CBM
MCTs01	CBM9	MCT	CBM
MCTs01	AA6	MCT	AA
MCTs01	CE1	MCT	CE
MCTs01	CE10	MCT	CE
MCTs01	CE11	MCT	CE
MCTs01	CE12	MCT	CE
MCTs01	CE14	MCT	CE
MCTs01	CE2	MCT	CE
MCTs01	CE3	MCT	CE
MCTs01	CE4	MCT	CE
MCTs01	CE6	MCT	CE
MCTs01	CE7	MCT	CE
MCTs01	CE8	MCT	CE
MCTs01	CE9	MCT	CE
MCTs01	GH1	MCT	GH
MCTs01	GH10	MCT	GH
MCTs01	GH105	MCT	GH
MCTs01	GH106	MCT	GH
MCTs01	GH108	MCT	GH
MCTs01	GH109	MCT	GH
MCTs01	GH110	MCT	GH
MCTs01	GH112	MCT	GH
MCTs01	GH113	MCT	GH
MCTs01	GH115	MCT	GH
MCTs01	GH116	MCT	GH
MCTs01	GH123	MCT	GH
MCTs01	GH125	MCT	GH
MCTs01	GH127	MCT	GH
MCTs01	GH13	MCT	GH
MCTs01	GH130	MCT	GH
MCTs01	GH133	MCT	GH
MCTs01	GH138	MCT	GH
MCTs01	GH139	MCT	GH
MCTs01	GH140	MCT	GH
MCTs01	GH141	MCT	GH
MCTs01	GH144	MCT	GH
MCTs01	GH145	MCT	GH
MCTs01	GH15	MCT	GH
MCTs01	GH18	MCT	GH
MCTs01	GH2	MCT	GH
MCTs01	GH20	MCT	GH
MCTs01	GH23	MCT	GH
