food,cazyme,coef,id,fdr_p,cazy_cat,bin
Vegetables,CE4,0.852540048420888,MCTs16,0.0228501679862217,CE,Positive (+/+ or -/-)
Vegetables,CE7,0.763126194815771,MCTs16,0.0889042005596927,CE,Positive (+/+ or -/-)
Vegetables,CE8,0.79962337815846,MCTs16,0.0488190716245567,CE,Positive (+/+ or -/-)
Vegetables,GH108,0.75608641481425,MCTs16,0.0982069036367003,GH,Positive (+/+ or -/-)
Vegetables,GH109,0.804320463461075,MCTs16,0.0457430427893722,GH,Positive (+/+ or -/-)
Vegetables,GH130,0.768506811831229,MCTs16,0.0817464779049793,GH,Positive (+/+ or -/-)
Vegetables,GH133,0.853246917972929,MCTs16,0.0228501679862217,GH,Positive (+/+ or -/-)
Vegetables,GH140,0.818317088384971,MCTs16,0.0361082164544432,GH,Positive (+/+ or -/-)
Vegetables,GH2,0.86374911531595,MCTs16,0.0228501679862217,GH,Positive (+/+ or -/-)
Vegetables,GH20,0.815829253084603,MCTs16,0.0361082164544432,GH,Positive (+/+ or -/-)
Vegetables,GH24,0.873661533798969,MCTs16,0.0228501679862217,GH,Positive (+/+ or -/-)
Vegetables,GH28,0.843779954828437,MCTs16,0.0266073448172629,GH,Positive (+/+ or -/-)
Vegetables,GH36,0.775741794817008,MCTs16,0.0735825191537499,GH,Positive (+/+ or -/-)
Vegetables,GH43,0.828862465679914,MCTs16,0.0318583979427876,GH,Positive (+/+ or -/-)
Vegetables,GH5,0.823456840903741,MCTs16,0.0349895236838846,GH,Positive (+/+ or -/-)
Vegetables,GH51,0.757893494578057,MCTs16,0.0962579586007322,GH,Positive (+/+ or -/-)
Vegetables,GH73,0.776157468352965,MCTs16,0.0735825191537499,GH,Positive (+/+ or -/-)
Vegetables,GH78,0.810100843189891,MCTs16,0.0415303829974508,GH,Positive (+/+ or -/-)
Vegetables,GH89,0.78742598543589,MCTs16,0.0637568475963006,GH,Positive (+/+ or -/-)
Vegetables,GH92,0.868220393984812,MCTs16,0.0228501679862217,GH,Positive (+/+ or -/-)
Vegetables,GT19,0.816159394631733,MCTs16,0.0361082164544432,GT,Positive (+/+ or -/-)
Vegetables,GT2,0.785714285714286,MCTs16,0.0637568475963006,GT,Positive (+/+ or -/-)
Vegetables,GT28,0.852814001454009,MCTs16,0.0228501679862217,GT,Positive (+/+ or -/-)
Vegetables,GT4,0.801801783725941,MCTs16,0.0474863687191796,GT,Positive (+/+ or -/-)
Vegetables,GT51,0.807574855993626,MCTs16,0.043088105543714,GT,Positive (+/+ or -/-)
Vegetables,GT9,0.848367780597815,MCTs16,0.024395271664494,GT,Positive (+/+ or -/-)
Vegetables,GH133,-0.772640642311892,MCTs16,0.0775867040736619,GH,Negative (+/-)
Vegetables,GH140,-0.760125650988707,MCTs16,0.0933912931735445,GH,Negative (+/-)
Fruits,CBM4,0.869048189253482,MCTs20,0.094327629870002,CBM,Positive (+/+ or -/-)
Fruits,GH78,0.890664296458556,MCTs20,0.094327629870002,GH,Positive (+/+ or -/-)
Fruits,GT30,0.87049569765073,MCTs20,0.094327629870002,GT,Positive (+/+ or -/-)
Fruits,CBM6,0.887625364598595,MCTs20,0.094327629870002,CBM,Positive (+/+ or -/-)
Fruits,CBM4,-0.869048189253482,MCTs20,0.094327629870002,CBM,Negative (+/-)
Grains,CBM22,0.877058019307029,MCTs20,0.094327629870002,CBM,Positive (+/+ or -/-)
Grains,GH13,0.899184057811465,MCTs20,0.094327629870002,GH,Positive (+/+ or -/-)
Grains,GH2,0.872185784083897,MCTs20,0.094327629870002,GH,Positive (+/+ or -/-)
Grains,GH78,0.894359998933487,MCTs20,0.094327629870002,GH,Positive (+/+ or -/-)
Sweets and Beverages,GH73,-0.927437254017683,MCTs20,0.0599794529336592,GH,Negative (+/-)
Vegetables,CBM4,0.869048189253482,MCTs20,0.094327629870002,CBM,Positive (+/+ or -/-)
Legumes,GH110,-0.739817578035814,MCTs22,0.0685181837849531,GH,Negative (+/-)
Legumes,GH142,-0.741341698500321,MCTs22,0.0677454250091844,GH,Negative (+/-)
Eggs,CBM51,-0.733595646607446,MCTs22,0.0720249925588405,CBM,Negative (+/-)
Eggs,CBM9,-0.782789183867185,MCTs22,0.0408516122285473,CBM,Negative (+/-)
Eggs,CE7,-0.729420702307535,MCTs22,0.0736623612261957,CE,Negative (+/-)
Eggs,GH66,-0.741344389112087,MCTs22,0.0677454250091844,GH,Negative (+/-)
Eggs,GH89,-0.717506709077024,MCTs22,0.0824219578032476,GH,Negative (+/-)
Eggs,GH92,-0.72338544504354,MCTs22,0.0798047178579748,GH,Negative (+/-)
Eggs,GT28,-0.75359723491814,MCTs22,0.0606399603044045,GT,Negative (+/-)
Fats,CBM44,0.705008732877002,MCTs22,0.0969169283912002,CBM,Positive (+/+ or -/-)
Fats,CBM20,-0.839099062534663,MCTs22,0.0226565957618514,CBM,Negative (+/-)
Fats,CBM22,-0.74441069768086,MCTs22,0.0647535605554258,CBM,Negative (+/-)
Fats,CBM30,-0.759331921705035,MCTs22,0.057191655316012,CBM,Negative (+/-)
Fats,CBM32,-0.80353222636768,MCTs22,0.0335495423846537,CBM,Negative (+/-)
Fats,CBM57,-0.730273650247199,MCTs22,0.0731033567401697,CBM,Negative (+/-)
Fats,CBM62,-0.74644683209808,MCTs22,0.0630834113980849,CBM,Negative (+/-)
Fats,CBM72,-0.728145643694565,MCTs22,0.0749496663111662,CBM,Negative (+/-)
Fats,CBM9,-0.785823250471321,MCTs22,0.0408516122285473,CBM,Negative (+/-)
Fats,AA6,-0.720575737785567,MCTs22,0.0803284062743344,AA,Negative (+/-)
Fats,CE1,-0.716402897981291,MCTs22,0.0835742300573017,CE,Negative (+/-)
Fats,CE11,-0.734067087645323,MCTs22,0.0720249925588405,CE,Negative (+/-)
Fats,CE12,-0.786956037218059,MCTs22,0.0408516122285473,CE,Negative (+/-)
Fats,CE14,-0.815274530981587,MCTs22,0.0335495423846537,CE,Negative (+/-)
Fats,CE3,-0.805003897111943,MCTs22,0.0335495423846537,CE,Negative (+/-)
Fats,CE6,-0.788169771758127,MCTs22,0.0408516122285473,CE,Negative (+/-)
Fats,CE7,-0.84483537039417,MCTs22,0.0226565957618514,CE,Negative (+/-)
Fats,CE8,-0.836333850819096,MCTs22,0.0226565957618514,CE,Negative (+/-)
Fats,CE9,-0.78185352505474,MCTs22,0.0409098393281867,CE,Negative (+/-)
Fats,GH1,-0.797809931280956,MCTs22,0.0339169898141168,GH,Negative (+/-)
Fats,GH109,-0.813833921577522,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GH123,-0.80860754006264,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GH125,-0.789924315452788,MCTs22,0.0408516122285473,GH,Negative (+/-)
Fats,GH127,-0.714614369858929,MCTs22,0.0851532034344317,GH,Negative (+/-)
Fats,GH130,-0.700711874139108,MCTs22,0.099613661294877,GH,Negative (+/-)
Fats,GH133,-0.747897417919617,MCTs22,0.0622043036839661,GH,Negative (+/-)
Fats,GH18,-0.711135290831218,MCTs22,0.0890946517709548,GH,Negative (+/-)
Fats,GH2,-0.817894731149928,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GH20,-0.801481471413786,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GH23,-0.851452637198444,MCTs22,0.0226565957618514,GH,Negative (+/-)
Fats,GH24,-0.783658030969033,MCTs22,0.0408516122285473,GH,Negative (+/-)
Fats,GH27,-0.72366012137613,MCTs22,0.0798047178579748,GH,Negative (+/-)
Fats,GH28,-0.751185308253602,MCTs22,0.0606399603044045,GH,Negative (+/-)
Fats,GH29,-0.733680830185431,MCTs22,0.0720249925588405,GH,Negative (+/-)
Fats,GH3,-0.784664180897694,MCTs22,0.0408516122285473,GH,Negative (+/-)
Fats,GH30,-0.759389545985684,MCTs22,0.057191655316012,GH,Negative (+/-)
Fats,GH31,-0.768999359118956,MCTs22,0.0510088494539206,GH,Negative (+/-)
Fats,GH32,-0.719885920409702,MCTs22,0.0803481263477959,GH,Negative (+/-)
Fats,GH33,-0.731773185463312,MCTs22,0.0731033567401697,GH,Negative (+/-)
Fats,GH36,-0.797738000852137,MCTs22,0.0339169898141168,GH,Negative (+/-)
Fats,GH43,-0.865855324355751,MCTs22,0.0168117231647083,GH,Negative (+/-)
Fats,GH5,-0.777289517543393,MCTs22,0.0455068847230961,GH,Negative (+/-)
Fats,GH57,-0.805173946887108,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GH66,-0.789173059377383,MCTs22,0.0408516122285473,GH,Negative (+/-)
Fats,GH73,-0.771670899185788,MCTs22,0.0484610864669947,GH,Negative (+/-)
Fats,GH76,-0.750571799212872,MCTs22,0.0606399603044045,GH,Negative (+/-)
Fats,GH77,-0.71148861866998,MCTs22,0.0890946517709548,GH,Negative (+/-)
Fats,GH78,-0.894350117321478,MCTs22,0.00513869490660841,GH,Negative (+/-)
Fats,GH84,-0.703331084221122,MCTs22,0.0991914554254542,GH,Negative (+/-)
Fats,GH88,-0.78455773942071,MCTs22,0.0408516122285473,GH,Negative (+/-)
Fats,GH89,-0.827297606371137,MCTs22,0.0294944626852234,GH,Negative (+/-)
Fats,GH92,-0.773682183553725,MCTs22,0.0479975777083559,GH,Negative (+/-)
Fats,GH97,-0.808790600633071,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GH99,-0.806752719331984,MCTs22,0.0335495423846537,GH,Negative (+/-)
Fats,GT19,-0.746087077760907,MCTs22,0.0630834113980849,GT,Negative (+/-)
Fats,GT2,-0.817379384241128,MCTs22,0.0335495423846537,GT,Negative (+/-)
Fats,GT28,-0.701470943965304,MCTs22,0.099613661294877,GT,Negative (+/-)
Fats,GT30,-0.749767608056672,MCTs22,0.0606399603044045,GT,Negative (+/-)
Fats,GT35,-0.723329189689008,MCTs22,0.0798047178579748,GT,Negative (+/-)
Fats,GT4,-0.75,MCTs22,0.0606399603044045,GT,Negative (+/-)
Fats,GT51,-0.821376454953914,MCTs22,0.0335495423846537,GT,Negative (+/-)
Fats,GT83,-0.837440152947378,MCTs22,0.0226565957618514,GT,Negative (+/-)
Fats,GT9,-0.749549958985597,MCTs22,0.0606399603044045,GT,Negative (+/-)
Fats,PL11,-0.765126039592807,MCTs22,0.0542558298552672,PL,Negative (+/-)
Fats,PL12,-0.730319049691001,MCTs22,0.0731033567401697,PL,Negative (+/-)
Fats,PL15,-0.759822146797857,MCTs22,0.057191655316012,PL,Negative (+/-)
Fats,PL17,-0.761824107746122,MCTs22,0.057191655316012,PL,Negative (+/-)
Fats,PL22,-0.737259815939466,MCTs22,0.0706020619246627,PL,Negative (+/-)
Fats,PL6,-0.755641094734986,MCTs22,0.0595094036848951,PL,Negative (+/-)
Fats,PL8,-0.840436449345776,MCTs22,0.0226565957618514,PL,Negative (+/-)
Fruits,CBM37,-0.839356003700913,MCTs22,0.0226565957618514,CBM,Negative (+/-)
Fruits,CBM48,-0.775889642968276,MCTs22,0.0462009399816887,CBM,Negative (+/-)
Fruits,GH13,-0.77229370746946,MCTs22,0.0484610864669947,GH,Negative (+/-)
Fruits,GH142,-0.701003912736007,MCTs22,0.099613661294877,GH,Negative (+/-)
Fruits,GH26,-0.706281086789385,MCTs22,0.0959200340742098,GH,Negative (+/-)
Fruits,GH94,-0.765958472680328,MCTs22,0.0542049780863153,GH,Negative (+/-)
Fruits,GT83,-0.702211490117354,MCTs22,0.099613661294877,GT,Negative (+/-)
Grains,CBM34,-0.756828359782797,MCTs22,0.0587822474239331,CBM,Negative (+/-)
Grains,CE2,0.731254360104787,MCTs22,0.0731033567401697,CE,Positive (+/+ or -/-)
Grains,GH13,0.72070920410795,MCTs22,0.0803284062743344,GH,Positive (+/+ or -/-)
Grains,GH25,0.797992107354129,MCTs22,0.0339169898141168,GH,Positive (+/+ or -/-)
Grains,GH84,0.704894042186058,MCTs22,0.0969169283912002,GH,Positive (+/+ or -/-)
Grains,GH94,0.761048482470839,MCTs22,0.057191655316012,GH,Positive (+/+ or -/-)
Grains,GT5,0.734047741605763,MCTs22,0.0720249925588405,GT,Positive (+/+ or -/-)
Grains,GH65,-0.70011330579528,MCTs22,0.099613661294877,GH,Negative (+/-)
Grains,GT26,-0.720688047395892,MCTs22,0.0803284062743344,GT,Negative (+/-)
Grains,GH139,-0.708142077174631,MCTs22,0.0940112818505953,GH,Negative (+/-)
Grains,GH141,-0.706977970404681,MCTs22,0.0954254879161558,GH,Negative (+/-)
Grains,GH142,-0.714694022493224,MCTs22,0.0851532034344317,GH,Negative (+/-)
Grains,GH5,-0.700502853438444,MCTs22,0.099613661294877,GH,Negative (+/-)
Grains,GH73,-0.736410878152466,MCTs22,0.0710616008781179,GH,Negative (+/-)
Grains,GH77,-0.757275243731506,MCTs22,0.0587822474239331,GH,Negative (+/-)
Grains,GT3,-0.751286554438762,MCTs22,0.0606399603044045,GT,Negative (+/-)
Grains,GT51,-0.702524352256603,MCTs22,0.099613661294877,GT,Negative (+/-)
Grains,CBM48,0.71961008711372,MCTs22,0.0803481263477959,CBM,Positive (+/+ or -/-)
Grains,GH38,0.718381908884495,MCTs22,0.0816934386114492,GH,Positive (+/+ or -/-)
Meats,CBM51,-0.802141186176671,MCTs22,0.0335495423846537,CBM,Negative (+/-)
Meats,CE15,-0.739097645019942,MCTs22,0.0685181837849531,CE,Negative (+/-)
Meats,GH142,-0.892443191188284,MCTs22,0.00513869490660841,GH,Negative (+/-)
Meats,PL6,-0.720922650912727,MCTs22,0.0803284062743344,PL,Negative (+/-)
Milks,CBM51,-0.802141186176671,MCTs22,0.0335495423846537,CBM,Negative (+/-)
Milks,GH106,-0.722434539052509,MCTs22,0.0803284062743344,GH,Negative (+/-)
Milks,GH139,-0.739097645019942,MCTs22,0.0685181837849531,GH,Negative (+/-)
Milks,GH142,-0.901887034481281,MCTs22,0.00513869490660841,GH,Negative (+/-)
Milks,GH35,-0.713356020227069,MCTs22,0.0866322920225353,GH,Negative (+/-)
Milks,GH63,-0.725061573739973,MCTs22,0.079440453602732,GH,Negative (+/-)
Milks,PL6,-0.731912325469323,MCTs22,0.0731033567401697,PL,Negative (+/-)
Milks,GH116,0.751469149302179,MCTs22,0.0606399603044045,GH,Positive (+/+ or -/-)
Grains,GH137,-0.918779540562285,MCTs34,0.0110857801499922,GH,Negative (+/-)
Grains,GH33,-0.936281675898539,MCTs34,0.00402611694452319,GH,Negative (+/-)
Grains,GH42,-0.936281675898539,MCTs34,0.00402611694452319,GH,Negative (+/-)
Grains,GH51,-0.910014104126869,MCTs34,0.0136277366715682,GH,Negative (+/-)
Meats,CBM67,-0.884011158799519,MCTs34,0.0419734659487582,CBM,Negative (+/-)
Meats,GH51,-0.978756176740769,MCTs34,3.11917196991162e-05,GH,Negative (+/-)
Meats,GH57,-0.90889973050962,MCTs34,0.0136277366715682,GH,Negative (+/-)
Eggs,GH55,-1,MCTs36,0,GH,Negative (+/-)
Eggs,GH63,-1,MCTs36,0,GH,Negative (+/-)
Fats,GH55,-1,MCTs36,0,GH,Negative (+/-)
Fats,GH63,-1,MCTs36,0,GH,Negative (+/-)
Fruits,GH137,-0.84639987700317,MCTs36,0.0170018824334388,GH,Negative (+/-)
Oils,GH142,-1,MCTs37,0,GH,Negative (+/-)
